text,label,spacy_label
removal of facial bone growth,,facial bone
incision of lower jaw bone,incision,
open treatment of broken eye socket bone with implant,eye,eye
biopsy of floor of mouth,biopsy,biopsy
partial removal of shoulder joint lining using an endoscope,shoulder,joint
suture and/or tying chest lymph duct,chest,
partial removal of lower esophagus,esophagus,esophagus
removal of growth of small or large bowels,,bowels
removal (less than 5 centimeters) muscle growth of pelvis or hip,pelvis,muscle pelvis
"gene analysis (additional sex combs like 1, transcriptional regulator) full sequence analysis",,
anesthesia for heart or heart-lung transplant,anesthesia heart,heart
"placement of stent of urinary duct (ureter), accessed through the skin with imaging including radiological supervision and interpretation",,urinary duct skin
removal of blood clot and portion of artery of upper thigh,artery,blood clot artery upper thigh
repair of perforating laceration of cornea and/or sclera,,cornea sclera
two medicare diabetes prevention program (mdpp) core maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 7-9 under the mdpp expanded model (em).  a core maintenance session is an mdpp service that: (1) is furnished by an mdpp supp,diabetes,
two medicare diabetes prevention program (mdpp) core maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 10-12 under the mdpp expanded model (em).  a core maintenance session is an mdpp service that: (1) is furnished by an mdpp su,diabetes,
the mdpp beneficiary achieved at least 9% weight loss (wl) from his/her baseline weight in months 1-24 under the mdpp expanded model (em).  this is a one-time payment available when a beneficiary first achieves at least 9% weight loss from baseline as meas,,
posterior chamber intraocular lens,,intraocular lens
open treatment of broken foot bone,foot,foot bone
removal of underarm lymph nodes,,lymph nodes
"biopsy of spine bone at middle spinal column, open procedure",biopsy spine,spine bone
"implantation of brain catheter, reservoir, eeg electrodes, pressure or other monitoring device",brain,brain
release of middle spinal cord and/or nerves,,spinal cord nerves
repair of eardrum,,eardrum
"patient programmer (external) for use with implantable programmable neurostimulator pulse generator, replacement only",,patient
"external recharging system for battery (internal) for use with implantable neurostimulator, replacement only",,
analysis of stone,,stone
examination of chest using an endoscope with biopsy,chest biopsy,biopsy
"removal of tissue and/or bone at elbow, open procedure",,tissue bone
removal of fluid-producing glands for sperm movement (semen),,sperm
external ear procedure,,ear
injections into esophagus using an endoscope,esophagus,esophagus
biopsy of lining of nose,biopsy,
"infusion for therapy or prevention, beneath the skin",,skin
removal of a segment of lung tissue,,lung tissue
biopsy of back of throat,biopsy,throat
removal of (less than 5 centimeters) muscle growth of neck or front of chest,chest neck,muscle
nuclear medicine kidney function study,,nuclear kidney
release of facial nerve,nerve,facial nerve
mrna gene analysis of 12 genes in breast ductal carcinoma in situ tumor tissue,tumor carcinoma breast,breast ductal carcinoma tumor tissue
mrna gene analysis of 17 genes in prostate tumor tissue,tumor prostate,prostate tumor tissue
test for detecting genes associated with breast cancer,breast,breast cancer
gene analysis (colon related cancer),,colon cancer
removal of scar tissue of ovaries or uterine tubes using an endoscope,,scar tissue ovaries uterine tubes
ultrasound using targeted microbubble contrast of additional lesion,ultrasound contrast,
balloon dilation of bile duct accessed through the skin using imaging guidance including radiological supervision and interpretation,,skin
biopsy of fluid collection in one lung using an endoscope,biopsy,lung
injection procedure for x-ray imaging of the lymphatic system,injection,lymphatic
oral removal of lower jaw bone growth or cyst,,oral bone
microscopy of lesion of skin with interpretation and report - first lesion,,skin
balloon catheter enlargement of opening between two upper heart chambers,catheter heart,heart
anesthesia for procedure on major lower abdominal wall blood vessels,abdominal anesthesia,
repair of vertical lip wound extending to over half of lip,,wound lip
"assistive technology assessment to enhance functional performance, each 15 minutes",,
destruction of pudendal (external genital) nerve,nerve,pudendal genital
euglobulin lysis (clot dissolving) measurement,,euglobulin
"screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, with screening by automated system, under physician supervision",cervical,cervical layer
"injection, immune globulin/hyaluronidase, (hyqvia), 100 mg immuneglobulin",,immuneglobulin
"assessment of antibody to human leukocyte antigens (hla), hla class i",,human leukocyte antigens hla class
"assessment of antibody to human leukocyte antigens (hla) with solid phase assays, hla class ii",,human leukocyte antigens solid hla class
removal of foreign bodies in esophagus using an endoscope,esophagus,esophagus
plastic repair of salivary duct,,salivary duct
salivary gland duct dilation,,salivary gland
removal of foreign body in nose,,
"screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, with manual screening and rescreening by cytotechnologist under physician supervision",cervical,cervical layer
removal of kidney and urinary duct (ureter) using an endoscope,,kidney urinary duct
drainage or removal of foreign body of wrist joint,,joint
"placement of drainage catheter of biliary duct, accessed through the skin with imaging including radiological supervision and interpretation",catheter,biliary duct skin
functional mri scan of brain,mri brain,brain
anesthesia for procedure on salivary gland with biopsy,biopsy anesthesia,salivary gland biopsy
"iodine i-125 sodium iothalamate, diagnostic, per study dose, up to 10 microcuries",,iodine i-125 sodium iothalamate
partial removal of pancreas,,pancreas
removal of multiple external anal growths,,anal
biopsy of cervix using an endoscope,biopsy,biopsy cervix
examination of cervix using an endoscope with biopsy of uterine lining,biopsy,cervix biopsy uterine
open biopsy or excision of lymph nodes in groin,biopsy excision,biopsy lymph nodes
replacement or irrigation of brain fluid drainage shunt catheter,catheter brain,brain fluid drainage
chemical analysis of stone,,stone
manual blood cell count,,blood cell
removal of (less than 5 centimeters) growth of neck or front of chest,chest neck,
excision of pituitary gland tumor,tumor excision,pituitary gland tumor
radiological supervision and interpretation of imaging of vein of both kidneys,,kidneys
"computer-assisted, fluoroscopic image-guided musculoskeletal surgical navigational orthopedic operation",orthopedic,
injection of medication into eye,eye injection,eye
drainage of tear-producing gland,,tear-producing gland
transplantation of donor pancreas,,pancreas
diagnostic examination of large bowel using an endoscope which is inserted through abdominal opening,abdominal,bowel abdominal
suture of bladder neck to vaginal wall and pubic bone with bladder canal suspension,bladder neck,bladder neck bone bladder canal
anesthesia for procedure to repair calf muscle,anesthesia,calf muscle
"insertion of devices in abdominal cavity for radiation therapy guidance, accessed through the skin",abdominal,abdominal cavity skin
evaluation of patient with prescription of speech-generating and alternative communication device,,patient
"gene analysis (glucosidase, beta, acid) common variants",,"glucosidase beta, acid"
"injection of chemical for destruction of nerve muscles on trunk, 6 or more muscles",nerve injection,nerve muscles trunk
repair of leg tissue defect,,leg tissue
manipulation of ankle under general anesthesia,anesthesia,
scraping of tissue of cervix,,tissue cervix
"skin substitute, not otherwise specified",,skin
"application of moveable, hinged finger splint",,
open treatment of broken shin bone,,shin bone
incision of tissue of rear muscle compartments of lower leg,incision,tissue muscle
emergent surgical opening of windpipe through neck for insertion of breathing tube,tube neck,tube
"microscopic imaging using an endoscope, interpretation and report, real-time or referred, each session",,
"injection, phentolamine mesylate, up to 5 mg",,phentolamine
closed treatment of fracture of upper arm bone at shoulder joint,fracture shoulder,upper arm bone
ultrasound procedure,ultrasound,
manual muscle testing of whole body,,muscle
nuclear medicine study of nervous systems,,nuclear nervous
drainage of tailbone cyst,,tailbone cyst
freezing destruction of penile growths,,penile growths
destruction of external female genital growths,,genital
"removal of biliary drainage catheter, accessed through the skin using imaging guidance and radiological supervision and interpretation",,biliary skin
ct scan of pelvic blood vessels with contrast,ct contrast,blood vessels
middle ear procedure,,ear
"gene analysis (cytochrome p450, family 2, subfamily c, polypeptide 9) common variants",,cytochrome p450
gene analysis (cytochrome p450 family 3 subfamily a member 4) for common variant,,cytochrome p450
injection of drug into erectile tissue at sides and back of penis,injection,erectile tissue penis
"exploration of abdomen for postsurgical bleeding, blood clot, or infection",abdomen infection,abdomen blood clot
biotinidase (enzyme) level,,biotinidase
removal of sutures under anesthesia by other surgeon,anesthesia,
assessment of two simultaneous words at different tones in same ear,,ear
incision of spine bone with removal of disc in spinal column,incision spine,spine bone spinal
incision or puncture of fluid-producing glands for sperm movement (semen),incision,sperm
repair of the muscle separating the chest and abdominal cavities,chest abdominal,muscle
removal of multiple small or large bowel growths,,bowel
"injection, tildrakizumab, 1 mg",,"tildrakizumab, 1"
partial destruction and reconstruction of right upper heart,heart,heart
"removal or destruction of (5.1 to 10.0 centimeters) abdominal cavity growths, cysts, or abnormal tissue, open abdominal procedure",abdominal,tissue abdominal
biopsy of vaginal mucous membrane,biopsy,vaginal mucous membrane
removal or revision of sling around bladder canal (urethra) to control leakage,bladder,bladder canal urethra
replacement and enlargement of left lower heart valve,heart,heart valve
application of cast to finger,,
"injection, ziconotide, 1 microgram",,ziconotide
"exploration, biopsy, or removal of loose or foreign body of knee",knee,
incision of prostate through bladder canal (urethra),incision bladder prostate,prostate bladder canal urethra
removal of all underarm lymph nodes,,
correction of foot deformity with incision of ankle joint capsule and lengthening of tendons,incision foot,
incision to straighten big toe bone,incision,
"drainage of abscess, cyst, or blood accumulation under the tongue",,blood tongue
"three-dimensional, video-taped, computer-based gait analysis during walking",,
release of abnormal veins blocking urinary duct (ureter),,veins urinary duct
revision and removal of prosthetic vaginal graft,,
revision or removal of prosthetic vaginal graft using an endoscope,,
exploration of blood vessel,,blood vessel
"removal of tongue, floor of mouth, and jaw bone",,tongue
reproductive hormone panel (testosterone),,
estrogen receptor analysis,,estrogen receptor
"radiological supervision and interpretation x-ray of spinal canal, 2 or more spinal regions",,spinal canal spinal
removal of iris to improve eye fluid flow,eye,iris eye fluid
biopsy of rectum,biopsy,biopsy rectum
removal of scar tissue of ovaries or uterine tubes,,scar tissue ovaries uterine tubes
"removal or destruction of (5 centimeters or less) abdominal cavity growths, cysts, or abnormal tissue, open procedure",abdominal,tissue
removal of abdominal cavity lymph nodes,abdominal,abdominal cavity lymph nodes
insertion of stabilizing or separating device into lower spine at additional level with open decompression,spine decompression,
"x-ray of eye bones, minimum of 4 views",eye,eye bones
release of collar bone and shoulder ligament,ligament shoulder,collar bone
gene analysis (cytochrome p450 family 3 subfamily a member 5) for common variant,,cytochrome p450
"gene analysis (peripheral myelin protein 22), duplication or deletion analysis",,peripheral myelin protein 22
"gene analysis (solute carrier organic anion transporter family, member 1b1) for common variant",,solute
"insertion of central venous catheters, two catheters in two veins, and implanted devices for infusion beneath the skin",,central venous catheters catheters veins skin
"destruction of 1 or more bone growths, accessed through the skin",,bone skin
test for detecting genes associated with fetal disease,,fetal
near infrared dual imaging of tear glands with interpretation and report,,
closed treatment of fracture of shin bone,fracture,shin bone
reconstruction of an eyelid by transfer of eyelid tissue from opposite eyelid,,eyelid eyelid tissue eyelid
"relocation of patient skin to scalp, arms, and/or legs",,patient skin scalp legs
"injection, chlorothiazide sodium, per 500 mg",,chlorothiazide
needle measurement and recording of electrical activity of muscles between chest and abdominal cavity,chest needle abdominal,muscles abdominal cavity
"x-ray of mandible, minimum of 4 views",,mandible
diagnostic examination of small bowel using an endoscope which is inserted through abdominal opening,abdominal,bowel abdominal
radiological supervision and interpretation x-ray of middle spinal canal,,spinal canal
ultrasound of brain,ultrasound brain,brain
gene analysis (postmeiotic segregation increased 2 [s cerevisiae]) duplication or deletion variants,,postmeiotic
repair of tendon or muscle of forearm and/or wrist,tendon,muscle forearm
anesthesia for procedure in chest,chest anesthesia,
"suture of small bowel for perforated ulcer, pouch, wound, injury or rupture",,bowel ulcer pouch wound
"suture of multiple small bowel ulcers, defects, wounds, injuries, or rupture",,bowel ulcers wounds
exploration behind abdominal cavity,abdominal,abdominal cavity
"injection, levoleucovorin (khapzory), 0.5 mg",,levoleucovorin
"procedure, service, or report",,
implantation of eye drug delivery system,eye,eye
"destruction of vascular growth between retina and sclera, at single session",,vascular retina sclera
physical medicine service or procedure,,
imaging of esophagus using radioisotopes,esophagus,esophagus
anchoring of tendon to first joint of finger,tendon,tendon joint
convert stomach tube to small bowel tube (accessed beneath the skin) using an endoscope,stomach tube,stomach tube bowel tube skin
amputation of finger or thumb,,
dilation of tissue at uterine opening (cervix),,tissue uterine cervix
removal of jaw bone to approach brain lesion,brain,jaw bone brain
"technetium tc-99m pertechnetate, diagnostic, per millicurie",,
"iodine i-131 sodium iodide, diagnostic, per microcurie (up to 100 microcuries)",,iodine i-131 sodium iodide
repair of finger joint,,
injection to test for myasthenia gravis,injection,
repositioning of foreskin including scar tissue removal,,foreskin scar tissue
"formoterol fumarate, inhalation solution, fda approved final product, non-compounded, administered through dme, unit dose form, 20 micrograms",,formoterol fumarate dme
impression and custom preparation of facial prosthesis,,facial
reconstruction of hip socket using an endoscope,,socket
removal of bony growth of upper jaw bone inside mouth,,upper jaw bone
oral removal of upper jaw bone growth or cyst,,oral upper jaw bone
repair of blood vessel of leg with graft,,blood vessel leg graft
"repair of wound (over 30.0 centimeters) of the scalp, underarms, trunk, arms, and/or legs",,wound scalp trunk legs
partial removal of hip or pelvic bone,,
revision of thigh bone prosthesis,,thigh bone
open treatment of hip socket fractures with insertion of hardware,,socket
"exploration, drainage, or removal of foreign body in knee joint",knee,
biopsy of tissue or muscle of lower leg or ankle,biopsy,tissue muscle
"exploration of chest for postsurgical bleeding, blood clot, or infection",chest infection,chest blood clot
non-cardiac vascular flow imaging,,vascular
dna gene analysis of 324 genes in solid organ tumor tissue,tumor,dna solid organ tumor tissue
"incision of hip tendon, open procedure",incision,
"gene analysis (adenomatous polyposis coli), duplication or deletion variants",,adenomatous polyposis coli
"gene analysis (interferon, lambda 3) for rs12979860 variant",,lambda 3
"gene analysis (mutl homolog 1, colon cancer, nonpolyposis type 2) known familial variants",,mutl homolog 1 colon cancer
"gene analysis (mutl homolog 1, colon cancer, nonpolyposis type 2) duplication or deletion variants",,mutl homolog 1 colon cancer
"gene analysis (muts homolog 2, colon cancer, nonpolyposis type 1) known familial variants",,colon cancer
gene analysis (muts homolog 6 [e coli]) known familial variants,,e coli
gene analysis (muts homolog 6 [e coli]) duplication or deletion variants,,e coli
gene analysis (postmeiotic segregation increased 2 [s cerevisiae]) known familiar variants,,postmeiotic
"gene analysis (phosphatase and tensin homolog), duplication or deletion variant",,tensin homolog
gene analysis (vitamin k epoxide reductase complex subunit 1) common variants,,vitamin k epoxide reductase complex subunit 1
closure of large or small bowel opening using an endoscope,,bowel
abdominal removal of uterus,abdominal uterus,uterus
partial removal of prostate gland,prostate,prostate gland
"hla class i and ii typing, low resolution hla-a, -b, and -drb1",,hla class i
hla class i typing high resolution,,hla class i
chemical test for genetic disorder,,
"cholinesterase (enzyme) level, to test for exposure to chemical or liver disease",,cholinesterase liver
hemoglobin-oxygen affinity measurement,,
b-hexosaminidase (enzyme) level,,
organic acids analysis,,
clotting factor xiii (fibrin stabilizing) screening test,,fibrin
immunologic analysis for organ transplant,,organ
removal of antibodies from surface of red blood cell,,surface blood cell
blood typing for red blood cell antigens,,blood blood cell
pretreatment of serum for use in red blood cell antibody analysis and measurement,,serum blood cell antibody
refill kit for implantable infusion pump,,
removal of bone flap or prosthesis from skull,,bone skull
replacement of bone flap or prosthesis in skull,,bone skull
first degree burn treatment,,
"injection, dalteparin sodium, per 2500 iu",,dalteparin sodium
diagnostic examination of shoulder using an endoscope,shoulder,
"injection, gamma globulin, intramuscular, 1 cc",,gamma globulin intramuscular
"cast supplies, gauntlet cast (includes lower forearm and hand), adult (11 years +), plaster",,
vaginal removal of uterus (250 grams or less) with repair of herniated bowel,uterus,uterus bowel
removal (5 centimeters or greater) muscle growth of back or flank,,muscle flank
"urinalysis, 2 or 3 glass test",,
"hyperthermia treatment, 5 or more probe applications",,
"aspiration of spinal fluid for diagnosis from skull soft spot, burr hole, or catheter in brain",catheter brain,spinal fluid skull soft brain
"stereotactic biopsy, aspiration, or excision of brain lesion using ct and/or mri guidance",ct mri brain excision,biopsy brain
follow-up or repeat ultrasound of fetal heart,ultrasound heart,fetal heart
repair of blood vessel of abdomen,abdomen,blood vessel abdomen
removal of spleen during other surgical procedure,,spleen
application of chemical agents activated by ultraviolet light to skin,,ultraviolet light skin
fetal non-stress test,,fetal
suturing hemorrhoids using ultrasound guidance,ultrasound,
repair of lacerated cornea and/or sclera,,cornea sclera
"mri scan of brain, during open brain procedure before and after contrast",mri brain contrast,brain brain
creation of sling around bladder canal (urethra) to control leakage using an endoscope,bladder,bladder canal urethra
"stem cells count, total",,stem cells
stomach and esophagus regurgitation study,esophagus stomach,stomach esophagus
incision of upper thigh bone at hip joint,incision,upper thigh
reconstruction of knee joint ligaments,knee,
"theraskin, per square centimeter",,
anatomic repositioning of uterus,uterus,uterus
biopsy of small bowel by capsule or tube,biopsy tube,bowel capsule tube
"influenza virus vaccine, not otherwise specified",,
"injection, patisiran, 0.1 mg",,
removal of foreign body from inside eye,eye,eye
"injection, doxorubicin hydrochloride, liposomal, imported lipodox, 10 mg",,doxorubicin hydrochloride liposomal
"destruction of malignant growth (over 4.0 centimeters) of scalp, neck, hands, feet, or genitals",,malignant growth scalp genitals
anesthesia for closed manipulation of spine,anesthesia spine,spine
insertion of wire and dilation of esophagus using an endoscope,esophagus,esophagus
destruction of anal polyps or growths using an endoscope,,anal polyps
biopsy of penis,biopsy,penis
anesthesia for tying procedure on major blood vessels of neck,anesthesia neck,blood vessels
anesthesia for procedure to repair upper abdominal incisional hernia and/or wound opening,abdominal anesthesia hernia,upper abdominal wound
"fat stain of stool, urine, or respiratory secretions",respiratory,fat stool urine respiratory
removal of foreign bodies in large bowel using an endoscope,,bowel
assessment of penile blood flow,,blood
gene analysis (telomerase reverse transcriptase) targeted sequence analysis,,telomerase reverse transcriptase
treatment of broken shin bone,,shin bone
physical medicine or rehabilitation service or procedure,,
detection test for bordetella pertussis or parapertussis (respiratory bacteria),,
"mri scan bones of the eye, face, and/or neck with contrast",mri contrast neck,bones eye
removal of polyps in nose,,polyps
musculoskeletal procedure on head,,head
"removal of lower spine bone with release of spinal cord and/or nerves, lateral extracavitary approach",spine,spinal cord nerves lateral extracavitary
removal of growth under nasal bone or cartilage,nasal,nasal bone cartilage
removal of toxins from blood,,blood
removal of (5 centimeters or greater) growth of neck or front of chest,chest neck,
removal (5 centimeters or greater) tissue growth of back or flank,,tissue flank
insertion of needle or catheter into the carotid (neck) or vertebral (brain) artery,artery needle catheter,carotid ( vertebral brain
removal and reconnection of diseased or injured portion of urinary duct (ureter),,urinary duct
connection to bladder of lower portion of urinary duct (ureter),bladder,bladder urinary duct
diagnostic examination of hip using an endoscope,,
repair of muscle to lower esophagus and stomach using an endoscope,esophagus stomach,muscle esophagus stomach
"incision of vein for insertion of needle or catheter, patient age 1 or over",incision needle,vein patient
anterior (front) eye procedure,anterior eye,eye
"enlargement of existing opening into urinary tract accessed through skin and creation of new access into urine collecting system of kidney, using imaging guidance",,urinary tract skin urine kidney
repair of ankle joint,,joint
test for detecting genes associated with rheumatoid arthritis using immunoassay technique,,
"injection, buprenorphine hydrochloride, 0.1 mg",,buprenorphine hydrochloride
insertion or replacement of permanent pacemaker and upper chamber electrodes,,
"incision of hip tendon, accessed through the skin",incision,skin
mri scan of jaw joints,mri,jaw joints
"temporal bone implantation of cochlear stimulating system, accessed through the skin",,bone cochlear skin
intra-operative heart pacing and mapping of abnormal heart rhythm for surgical correction,heart,heart heart
"liver disease, ten biochemical assays (alt, a2-macroglobulin, apolipoprotein a-1, total bilirubin, ggt, haptoglobin, ast, glucose, total cholesterol and triglycerides) utilizing serum, prognostic algorithm reported as quantitative scores for fibrosis, stea",,liver a2-macroglobulin apolipoprotein bilirubin haptoglobin ast glucose cholesterol triglycerides serum
transplant antibody measurement,,
insertion of catheter into an artery of a lobe of the lung,artery catheter,artery lung
revision or removal of brain neurostimulator electrodes,brain,brain
vaccine for influenza for nasal administration,nasal,vaccine nasal
"implantation of cranial nerve neurostimulator electrodes, accessed through the skin",nerve,cranial nerve skin
"influenza virus vaccine, split virus, for intramuscular use (agriflu)",,intramuscular
"repair of wound of eyelids, nose, ears, and/or lips",,wound eyelids
"reconstruction of bladder canal (urethra), female",bladder,bladder canal urethra
repair of diseased or bulging (aneurysm) artery of abdominal organ,artery abdominal,organ
electro or thermal destruction of cervix,,cervix
freezing destruction of cervix,,cervix
anesthesia for procedure on esophagus,anesthesia esophagus,esophagus
anesthesia for removal of nerves in lower spine,anesthesia spine,nerves
"cast supplies, long arm cast, adult (11 years +), plaster",,
open treatment of broken ribs with insertion of hardware,,ribs
reconstruction or repair of prostatic or membranous bladder canal (urethra),bladder,prostatic urethra
manipulation of wrist under anesthesia,anesthesia,
manipulation of finger joint under anesthesia,anesthesia,
"gene analysis (breast and related cancers), duplication or deletion variants",,breast cancers
test for detecting genes associated with inherited disease of heart muscle,heart,heart muscle
gene analysis (alpha globin 1 and alpha globin 2) full sequence analysis,,alpha globin 1 alpha globin 2
"gene analysis (peripheral myelin protein 22), full sequence analysis",,peripheral myelin protein 22
removal of blood clot in underarm or upper chest vein,chest,blood clot
removal of mammary implant material,,mammary
relocation of eye muscles to restore function,eye,eye muscles
"repair of eardrum, ear canal and bones with removal of mastoid bone",,eardrum ear canal bones mastoid bone
phosphohexose isomerase (enzyme) level,,phosphohexose isomerase
"subsequent intensive care of recovering low birth weight infant, per day",,
nasal procedure,nasal,
repair of blood vessel of arm with vein graft,,blood vessel vein graft
incision of burn tissue,incision,
"removal of abdominal lining, uterus, both ovaries and fallopian tubes, and pelvic and aortic lymph nodes with tumor reduction",abdominal tumor,abdominal lining uterus ovaries fallopian tubes pelvic lymph nodes tumor
removal of implanted catheter in spinal canal,catheter,spinal canal
lengthening of thigh bone,,thigh bone
repair of thigh bone,,thigh bone
"repair of bladder canal (urethra) for abnormal drainage tract, pouching, or narrowing",bladder,bladder canal urethra tract
imaging of bone marrow limited area,,bone marrow
somatostatin (growth hormone inhibitor) level,,somatostatin growth hormone
clotting factor viii related antigen measurement,,
radiological supervision and interpretation of imaging of lymphatic system of one arm or leg,,lymphatic
"skin, mucus membrane and beneath the skin procedure",,skin mucus membrane skin
"injection, bleomycin sulfate, 15 units",,bleomycin
"injection, naltrexone, depot form, 1 mg",,naltrexone depot
"developmental test administration by qualified health care professional with interpretation and report, additonal 30 minutes",,
"removal of blood flow assist device in aorta, open procedure",,blood aorta
removal of multiple growths of different eyelids,,eyelids
"incision of the bladder canal (urethra) using an endoscope, female",incision bladder,bladder canal urethra
removal of esophagus using an endoscope,esophagus,esophagus
removal or scraping of cyst or growth of thigh bone with patient-derived bone graft,,thigh bone patient-derived bone graft
measurement fractional flow reserve in arteries of heart with 3d functional mapping during procedure,heart,arteries heart
destruction of kidney cysts using an endoscope,,kidney cysts
removal (less than 1.5 centimeters) muscle growth of foot or toe,foot,muscle
removal (less than 5 centimeters) tissue growth of back or flank,,tissue flank
removal (less than 5 centimeters) tissue growth of shoulder area,shoulder,tissue
removal (5 centimeters or greater) tissue growth of shoulder area,shoulder,tissue
removal (less than 5 centimeters) tissue growth of upper arm or elbow,,tissue upper arm
removal (5 centimeters or greater) tissue growth of upper arm or elbow,,tissue upper arm
removal (3 centimeters or greater) tissue growth at forearm and/or wrist,,tissue forearm
removal (less than 5 centimeters) tissue growth of leg or ankle,,tissue leg
"removal of salivary gland growth or salivary gland, lateral lobe",,salivary gland salivary gland lateral lobe
anesthesia for procedure on mouth to repair palate deformity,anesthesia,palate
open treatment of broken jaw bone,,jaw bone
insertion of electrode for permanent pacemaker or pacing defibrillator device,,
"repair of anal muscle to correct incontinence, adult",,anal muscle
insertion of catheter into breast for radiation therapy concurrent with partial breast removal using imaging guidance,catheter breast,breast breast
"epicord, per square centimeter",,
"repair of prosthetic device, repair or replace minor parts",,
"repair prosthetic device, labor component, per 15 minutes",,
"transmitting coil for use with cochlear implant device, replacement",,cochlear
"transmitter cable for use with cochlear implant device or auditory osseointegrated device, replacement",,cochlear
"cochlear implant, external speech processor and controller, integrated system, replacement",,cochlear
"lithium ion battery for use with cochlear implant or auditory osseointegrated device speech processor, ear level, replacement, each",,lithium cochlear ear
"external recharging system for battery for use with cochlear implant or auditory osseointegrated device, replacement only, each",,cochlear
"cochlear implant, external controller component, replacement",,cochlear
"transmitting coil and cable, integrated, for use with cochlear implant device, replacement",,cochlear
"auditory osseointegrated device, external sound processor, excludes transducer/actuator, replacement only, each",,
"auditory osseointegrated device, transducer/actuator, replacement only, each",,
"orthotic and prosthetic supply, accessory, and/or service component of another hcpcs ""l"" code",,
aspiration and injection treatment of bone cyst,injection,bone cyst
respiratory inhaled aerosol treatment to relieve airway obstruction,respiratory,airway
harvest of upper arm vein segment for leg or heart artery bypass,artery heart,upper arm leg heart artery
bypass of diseased or blocked artery (upper to lower leg artery),artery,artery upper leg artery
removal of neck lymph nodes,neck,lymph nodes
destruction of multiple penile growths,,penile growths
insertion of catheter for suction of secretions,catheter,
"transfer of nerve to injured nerve, first stage",nerve,nerve nerve
detection test for zika virus,,
analysis for antibody to borrelia (relapsing fever bacteria),,
"injection, plerixafor, 1 mg",,plerixafor
assessment of hearing loss using grammatically incorrect sentences,,
mechanical separation of platelet cells from blood,,platelet cells
"injection, naloxone hydrochloride, per 1 mg",,naloxone hydrochloride
removal of implanted eardrum tube under anesthesia,anesthesia tube,eardrum tube
insertion of catheter for drainage into sac that covers the heart,catheter heart,sac heart
ultrasonic guidance for drainage of sac that covers the heart,heart,sac heart
opening in chest with partial removal of lung tissue,chest,lung tissue
placement of skin electrodes for measurement and recording of stimulated sites of the arms,,skin
removal of growth of dental bone,,bone
control of nose bleed and insertion of packing,,nose bleed
control of nosebleed and insertion of packing,,
"radioelements for brachytherapy, any type, each",,
open treatment of fracture of thigh bone,fracture,
"hyalomatrix, per square centimeter",,
partial removal of lung lining for lung expansion,,lung lung
repair of traumatic tear in lung and/or control of bleeding,bleeding,lung
insertion of needle for infusion into bone,needle,bone
removal of multiple foot bones,foot,bones
partial removal of small bowel using an endoscope,,bowel
drainage of rectal abscess,,rectal
removal of lip with skin flap repair,,lip skin
"drainage of cyst of the esophagus, stomach, and/or upper small bowel using an endoscope",,esophagus stomach upper bowel
"injection, edetate calcium disodium, up to 1000 mg",,edetate calcium
placement of breast localization devices accessed through the skin with mri guidance,mri breast,breast skin
removal of lung lining for lung expansion,,lung lung
repair of blood vessel of chest,chest,blood vessel
tying of major chest artery,artery chest,chest artery
preparation of donor heart for transplantation,heart,heart
injection of chemical for destruction of eye muscle,eye injection,eye muscle
analysis for antibody to trichinella (worm parasite),,trichinella (
mechanical separation of plasma and abnormal antibodies from blood,,plasma blood
removal of foot bone,foot,
repair of torn collateral ligament and/or knee joint capsule,ligament knee,collateral ligament
endocrine system procedure,,
"drainage of liver abscess or cyst, open procedure",,liver
"percutaneous skeletal fixation of posterior pelvic bone fracture and/or dislocation, for fracture patterns which disrupt the pelvic ring, unilateral or bilateral, (includes ilium, sacroiliac joint and/or sacrum)",fracture,skeletal posterior pelvic bone pelvic ilium sacrum
impression and custom preparation of oral prosthesis for use during surgery,surgery,oral
reconstruction of lower jaw or cheek bone with insertion of implant,,lower jaw cheek bone
"hla class i and ii typing high resolution hla-a, -b, -c, and -drb1",,hla class i
upper jaw and facial prosthesis procedure,,
insertion of prosthesis for repair of abdominal or groin artery including radiological supervision and interpretation,artery abdominal,groin artery
delivery of fixation device to graft via catheter including radiological supervision and interpretation,catheter,graft
peripheral arterial disease (pad) rehabilitation per session,,peripheral arterial pad
removal of deep foreign body in muscle or tendon,tendon,muscle
dilation of rectal scar tissue under anesthesia,anesthesia,rectal scar tissue
antibody level measurement,,
analysis for antibody to yersinia (bacteria),,
repair of diseased or bulging (aneurysm) artery of upper thigh,artery,upper thigh
"cast supplies, for unlisted types and materials of casts",,
conversion of nephrostomy catheter to nephroureteral catheter accessed through the skin using imaging guidance with study of kidney and ureter and radiological supervision and interpretation,catheter,nephroureteral catheter skin kidney ureter
"removal of prostate gland, glands for sperm movement (semen), and sperm duct",prostate,prostate gland sperm sperm duct
removal of wrist bone cyst or growth,,bone cyst
removal (less than 3 centimeters) tissue growth of hand or finger,,tissue
partial removal of hand bone,,bone
pregnancy-associated plasma protein-a level,,pregnancy-associated plasma protein-a
"gonadotropin, chorionic (reproductive hormone) measurement",,gonadotropin chorionic
measurement of cold agglutinin (protein) to screen for infection or disease,infection,
analysis for antibody to cryptococcus (yeast),,
